YEAR,TRIFD,3. FRS ID,Facility Name,Street Address,City,County,State,Zip,10. BIA,11. TRIBE,Latitude,Longitude,Industry Sector
2019,11691BYSWT1425B,1.1002E+11,BAYSWATER PEAKING FACILITY LLC,14-25 BAY 24TH ST,FAR ROCKAWAY,QUEENS,NY,11691,,,40.60761,-73.76201,Electric Utilities
2019,11356NDSTR20451,1.1E+11,COMSTAR INTERNATIONAL INC,20-45 128 ST,COLLEGE POINT,QUEENS,NY,11356,,,40.780925,-73.84055,Chemicals
2019,11356NDSTR20451,1.1E+11,COMSTAR INTERNATIONAL INC,20-45 128 ST,COLLEGE POINT,QUEENS,NY,11356,,,40.780925,-73.84055,Chemicals
2019,11356NDSTR20451,1.1E+11,COMSTAR INTERNATIONAL INC,20-45 128 ST,COLLEGE POINT,QUEENS,NY,11356,,,40.780925,-73.84055,Chemicals
2019,11356NDSTR20451,1.1E+11,COMSTAR INTERNATIONAL INC,20-45 128 ST,COLLEGE POINT,QUEENS,NY,11356,,,40.780925,-73.84055,Chemicals
2019,11356NDSTR20451,1.1E+11,COMSTAR INTERNATIONAL INC,20-45 128 ST,COLLEGE POINT,QUEENS,NY,11356,,,40.780925,-73.84055,Chemicals
2019,11356NDSTR20451,1.1E+11,COMSTAR INTERNATIONAL INC,20-45 128 ST,COLLEGE POINT,QUEENS,NY,11356,,,40.780925,-73.84055,Chemicals
2019,1123WGRCBR381HA,1.10034E+11,USC - FERRARA BROTHERS LLC - SMITH STREET,381 HAMILTON AVE,BROOKLYN,KINGS,NY,11231,,,40.67301,-73.99921,Nonmetallic Mineral Product
2019,1123WGRCBR381HA,1.10034E+11,USC - FERRARA BROTHERS LLC - SMITH STREET,381 HAMILTON AVE,BROOKLYN,KINGS,NY,11231,,,40.67301,-73.99921,Nonmetallic Mineral Product
2019,1110WSCNYC47172,1.1007E+11,USC - NYCON LLC,4717 27TH ST,LONG ISLAND CITY,QUEENS,NY,11101,,,40.743176,-73.940535,Nonmetallic Mineral Product
2019,1110WSCNYC47172,1.1007E+11,USC - NYCON LLC,4717 27TH ST,LONG ISLAND CITY,QUEENS,NY,11101,,,40.743176,-73.940535,Nonmetallic Mineral Product
2019,10009CNSLD801E1,1.1E+11,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,801 E 14 ST,MANHATTAN,NEW YORK,NY,10009,,,40.7278,-73.9733,Electric Utilities
2019,10009CNSLD801E1,1.1E+11,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,801 E 14 ST,MANHATTAN,NEW YORK,NY,10009,,,40.7278,-73.9733,Electric Utilities
2019,10009CNSLD801E1,1.1E+11,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,801 E 14 ST,MANHATTAN,NEW YORK,NY,10009,,,40.7278,-73.9733,Electric Utilities
